Part_Time,Face_to_Face,Availability,Country,University,Distance,Level_Code,Faculty,Course,Course_Lang,Blended,Remarks,Prerequisite_2_grade,Website,Offline,Int_Fees,City,Duration_Time,Full_Time,Local_Fees,Online,Prerequisite_3_grade,Prerequisite_2,Currency_Time,Career_Outcomes,Description,Prerequisite_1_grade,Prerequisite_3,Duration,Currency,Prerequisite_1
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Engineering,Bachelor of Science (Professional),English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-science-professional%2F&auth=bqlT9jkeEgXQBqC4cZ9feQ&profile=_default&rank=10&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D,yes,35200,Hawthorn,Years,yes,"9,527",no,,IELTS,year,,"The Bachelor of Science (Professional) provides students with a broad science overview with the ability to specialise in a field of their choice through a range of Science majors. The course aims to equip students with the skills, knowledge and key theoretical insights required to work in a range of professional scientific environments. A distinctive feature of the course is the practical application of knowledge through project-based units of study.Drawing on the expertise of leading teachers, researchers and a variety of industry experts, the course allows students to tailor their degree and develop a unique range of interdisciplinary skills. Offering a flexible range of unit combinations, the course allows students to select a professionally focused program of study. The topics covered seek to blend a range of key scientific skills and knowledge required by current and projected industry needs. The professional industry-linked component provides students with the opportunity to gain awareness, experience, and links to industry, whilst enabling them to apply their knowledge, techniques and skills to solve industry-related problems.",80,,4,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Humanities and Social Science,Bachelor of Animation,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-animation%2F&auth=Y8BOb9IBfCaxFdYSoEgtLg&profile=_default&rank=11&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,yes,36600,Hawthorn,Years,yes,"6,684",no,,IELTS,year,,"The Bachelor of Animation is designed to provide students with practical, hands-on experience in 2D, 3D and stop-motion animation for film and television, visual effects and games. Develop an understanding of animation and production techniques. Choose to specialise in character animation, production design, production management, story development or direction. Learn about film, television and animation history and theory; and the development of narrative structures as applied to animation. Gain access to state-of-the-art workstations; a purpose-built animation studio; interactive pen displays; high-end cameras; and render farms for processing 3D computer animation.",65,,3,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,HONS,Humanities and Social Science,Bachelor of Psychological Sciences (Honours),English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-psychological-sciences-honours%2F&auth=VL9a8ZGODhTRKoYFbWoErA&profile=_default&rank=12&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,yes,"39,560",Hawthorn,Year,yes,"6,684",no,,IELTS,year,,"Develop advanced, independent research skills and work towards a career as a professional psychologist or academic researcher.The Bachelor of Psychological Sciences (Honours) is available to students who have completed an Australian Psychology Accreditation accredited undergraduate degree. It will prepare you for postgraduate studies in specialist areas of professional psychology such as clinical psychology, organisational psychology and sports psychology, or a career in research.You’ll complete an original research project as well as pre-professional training.The Bachelor of Psychological Sciences (Honours) is professionally accredited with conditions by the Australian Psychology Accreditation Council (APAC).",65,,1,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Computer Science & Information Technology,Bachelor of Computer Science,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-computer-science%2F&auth=8BhHVJlrnin1nkUVrtDX0w&profile=_default&rank=13&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,yes,31600,Hawthorn,Years,yes,"9,527",no,,IELTS,year,,"The Bachelor of Computer Science involves the use of the most up-to-date technology and methods, and includes a major emphasis on software development. The course is oriented towards applications in areas such as defence, aerospace and medicine, where complex software plays a major role and often of a safety-critical nature; as well as in businesses that require extensive computer support, such as banking and manufacturing.",70,,3,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Humanities and Social Science,Bachelor of Psychological Sciences,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-psychological-sciences%2F&auth=Wi2b58iJGMUoexscmMYAtQ&profile=_default&rank=14&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,yes,34560,Hawthorn,Years,yes,"6,684",no,,IELTS,year,,"Studying psychology provides students with the knowledge and skills to understand and explain human behaviour and relationships. The Bachelor of Psychological Sciences provides specialised study in developmental psychology, cognition, social psychology, personality,  design and measurement, psychological measurement and abnormal psychology. Students complete a variety of research projects and develop skills in project management, research design and report writing.The three-year undergraduate major in psychology is professionally accredited by the Australian Psychology Accreditation Council.Graduates of this degree are eligible to apply for the Bachelor of Psychological Sciences (Honours).",60,,3,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Humanities and Social Science,Bachelor of Exercise and Sport Science,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-exercise-and-sport-science%2F&auth=TtlxLhODHJHTa6eRgnO%2FwA&profile=_default&rank=15&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,yes,33680,Hawthorn,Years,yes,"6,684",no,,IELTS,year,,"Turn your passion for sport into a career with the Bachelor of Exercise and Sport Science.Develop the skills that will enable you to improve the health, fitness and performance of individuals and teams through training, coaching and advice. You’ll learn how to navigate the increasingly digitised exercise and sport industry through access to cutting-edge laboratories and technology, including wearable sensors, virtual reality and 3D analysis equipment. You’ll also gain experience through industry-based entrepreneurial and research projects.Graduate ready to apply for roles such as sport or exercise scientist; coach; or strength and conditioning specialist in elite or community sport, government agencies, clinical settings or corporate wellbeing. This course offers students a pathway into postgraduate studies in clinical exercise physiology, occupational therapy and physiotherapy, and various research degrees.",60,,3,AUD,year 12
yes,yes,D,Australia,Swinburne University of Technology,yes,BA,Humanities and Social Science,Bachelor of Psychological Sciences,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-psychological-sciences-oua%2F&auth=hh%2FYFCP1v3X1sJcqxWhe9w&profile=_default&rank=16&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,yes,33680,Hawthorn,Years,yes,"6,684",yes,,IELTS,year,,"Studying psychology provides students with the knowledge and skills to understand and explain human behaviour and relationships. The Bachelor of Psychological Sciences provides specialised study in developmental psychology, cognition, social psychology, personality,  design and measurement, psychological measurement and abnormal psychology. Students complete a variety of research projects and develop skills in project management, research design and report writing.The three-year undergraduate major in psychology is professionally accredited by the Australian Psychology Accreditation Council.Graduates of this degree are eligible to apply for the Bachelor of Psychology (Honours) – Graduate Entry.",60,,3,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Science and Health Science,Bachelor of Science,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-science%2F&auth=Q5RNdO4eKzztWS3EzE20SA&profile=_default&rank=17&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,yes,35200,Hawthorn,Years,yes,"9,527",no,,IELTS,year,,"The Bachelor of Science provides students with a broad science overview with the ability to specialise in a field of their choice through a range of science majors. The course aims to equip students with the skills, knowledge and key theoretical insights required to work in a range of professional scientific environments. A distinctive feature of the course is the practical application of knowledge through project based units of study. Drawing on the expertise of leading teachers, researchers and a variety of industry experts, the course allows students to tailor their degree and develop a unique range of interdisciplinary skills. Offering a flexible range of unit combinations, the course allows students to select a professionally focused program of study. The topics covered seek to blend a range of key scientific skills and knowledge required by current and projected industry needs. Swinburne also offers an honours (fourth) year for this degree.",65,,3,AUD,year 12
no,yes,A,Australia,Swinburne University of Technology,yes,BA,Education,Bachelor of Education Studies,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-education-studies%2F&auth=7J3SI4ej9O8%2FpazqC47DYQ&profile=_default&rank=18&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,yes,30000,Hawthorn,Years,yes,"6,684",no,,IELTS,year,,"Learn about how children learn with a Bachelor of Education Studies. Critically review theory and practice in the primary school and early childhood areas. Plan and implement effective teaching and learning in diverse contexts. Develop the skills for the future education workforce by tailoring your electives to a variety of education environments. This degree does not qualify you to become a teacher. Instead, you’ll graduate ready for a career at a policy or governmental level, or in corporate on non-profit training.",60,,3,AUD,year 12
yes,yes,A,Australia,Swinburne University of Technology,yes,BA,Aviation,Bachelor of Aviation Management,English,yes,[],6.0,https://search.swinburne.edu.au/s/redirect?collection=swinburne-courses&url=https%3A%2F%2Fwww.swinburne.edu.au%2Fstudy%2Fcourse%2Fbachelor-of-aviation-management%2F&auth=59tZbAacfyCtWlHnL4852w&profile=_default&rank=19&query=bachelor+-associate+AccreditationStatus%3Acurrent+%7CStudyLevel%3A%22%24%2B%2B+degrees+and+double+degrees+%24%2B%2B%22+%7C%5BResidency%3A%22%24%2B%2B+international+%24%2B%2B%22+Residency%3A%22%24%2B%2B+local+%24%2B%2B%22%5D+%7CAccreditationStatus%3A%22%24%2B%2B+current+%24%2B%2B%22,yes,36800,Hawthorn,Years,yes,"9,527",no,,IELTS,year,,"Many careers in the aviation industry are in the diverse operational areas. The Bachelor of Aviation Management is designed for those who seek a management role in the aviation industry in Australia or overseas. Students gain a sound professional understanding of the aviation industry and its associated environment, and skills in organisational, regulatory, safety, technical and business management.This course has been developed with input from industry professionals and focuses on trends shaping the aviation industry today.Swinburne also offers an honours (fourth) year for this degree.",70,,3,AUD,year 12
